15	10	E	-7041639.959680696	200
transitionprobs	11	13	0.0028569256751721354
transitionprobs	11	14	0.09256460986700202
transitionprobs	11	15	0.011362106178169311
transitionprobs	12	1	3.521094190344019E-4
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0
transitionprobs	12	6	0.004105375685938852
transitionprobs	12	7	0.0
transitionprobs	12	8	3.113671619660424E-5
transitionprobs	12	9	0.0
transitionprobs	12	10	0.0
transitionprobs	12	11	0.022266812998994644
transitionprobs	12	12	0.7762602935024396
transitionprobs	12	13	0.19576900546779588
transitionprobs	12	14	0.0
transitionprobs	12	15	0.0012152662095999576
transitionprobs	13	1	0.0
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	0.0
transitionprobs	13	5	0.0
transitionprobs	13	6	0.0010784631161112536
transitionprobs	13	7	0.0
transitionprobs	13	8	0.0
transitionprobs	13	9	0.0
transitionprobs	13	10	3.455574005936004E-7
transitionprobs	13	11	4.7586012199393203E-4
transitionprobs	13	12	0.00865391447963195
transitionprobs	13	13	0.9491885057024402
transitionprobs	13	14	0.03748130754986073
transitionprobs	13	15	0.0031216034725614363
transitionprobs	14	1	6.818089334246375E-4
transitionprobs	14	2	0.0
transitionprobs	14	3	7.006769202595982E-5
transitionprobs	14	4	0.0
transitionprobs	14	5	3.5531451703918586E-7
transitionprobs	14	6	0.00637822880810799
transitionprobs	14	7	8.276393408264967E-4
transitionprobs	14	8	0.0
transitionprobs	14	9	2.3606066200471097E-5
transitionprobs	14	10	6.33183115743825E-7
transitionprobs	14	11	7.189186253250893E-4
transitionprobs	14	12	0.0
transitionprobs	14	13	0.001957323537554542
transitionprobs	14	14	0.9854056372589409
transitionprobs	14	15	0.003935781239960957
transitionprobs	15	1	0.013933870149399027
transitionprobs	15	2	1.4534852702489124E-4
transitionprobs	15	3	3.499845818102775E-4
transitionprobs	15	4	0.0
transitionprobs	15	5	0.0013409707286940666
transitionprobs	15	6	0.0240463837027758
transitionprobs	15	7	0.0028548582005342607
transitionprobs	15	8	6.756770788336637E-4
